0.0,0.0
13320.292046901401,397.05966168873806
13909.455314650406,9594.0165809697537
5163.1802653501563,10385.179043843831
-10160.458814842475,14917.956517376104
-10261.700460673283,5506.8793346880448
-16102.183714221059,-5170.1050681172792
-4703.5709438227077,-7795.7534575649042
-2646.864366928392,-15727.377559889874
11261.095161799583,-4078.2565574250766
31306.600017585708,4125.6335959379485
20841.556397762761,5757.4463805278601
26165.248129351923,14627.01251813057
21411.363708707308,23015.84533709849
7402.5968442670337,26614.096572957103
382.8067209635222,27048.459447423393
-7810.4122672826416,25081.031809633096
-16776.14969867171,23906.062480768764
-20315.516510616922,15481.556704706018
-28065.875655540873,11856.99377675285
-21439.522349316889,6553.8005380956574
-23492.578985580654,-8227.6942894368294
-20984.782275510213,-14650.860298652891
-16883.971679010549,-19914.356055699529
-9575.499120415192,-26201.122128636151
-3043.7142462334255,-25957.574228690864
3536.1627650158962,-30387.371381773493
10831.505778864966,-27868.580878030432
20316.95574326898,-17444.046056720312
24027.819891026225,-19390.103180043639
26599.89968012031,-11221.370438854654
38910.28953478959,-2648.8858447193752
35793.52662358473,9951.2111978155644
33930.591969609632,20873.260616953197
28913.191343138755,27460.953326878054
25846.964940107733,30527.600681757511
23004.587294132663,31417.154590628743
15529.011290885608,35521.994476881897
6500.1957032998434,39061.942495311298
-2776.7168509726553,39903.506657053644
-16819.313165361473,32988.330930845594
-25138.642470418738,31113.480273740828
-25421.091408397777,30883.136362841851
-33617.80105057959,16863.870173906966
-38513.070893973338,10804.784602933267
-38870.301896759302,7508.6211810027171
-39124.963567231396,-8320.8909296310212
-37955.332071557692,-12625.084844775654
-30489.271389711306,-20691.022159841501
-28912.982807209599,-27641.263089627475
-27327.346763976315,-29086.544956930858
-14150.091223246343,-37413.565967090159
-10599.804116574554,-36405.05151151395
-2706.7596730363589,-37797.061773443704
10382.088127815518,-34205.515182197028
18134.592346646379,-33105.379560063535
26072.292191497283,-27129.77466490227
28038.58392091154,-28527.842745465365
32573.033849431042,-19980.722327177944
39331.596700959897,-4956.4228211528025
